,Input Name,Input Website,Match,Stage,Score,Source
253,Engel Foreign Food B.V.,engelforeignfood.com,engelforeignfood.com,3 - Presenting (S),100.0,Movements NL
254,Medico-Care B.V.,medicocare.nl,No Match,-,0.0,Movements NL
255,L & H Dutch Bear B.V.,lhdutchbear.nl,lhdutchbear.nl,8 - Loyal (CS),100.0,Movements NL
256,Handelsonderneming H. Swanenberg B.V.,swanenberg.com,No Match,-,0.0,Movements NL
257,Richmond Interiors,richmondinteriors.nl,richmondinteriors.nl,2 - SQL / Sales Outreach,100.0,Movements NL
258,International Hotel Supply B.V.,internationalhotelsupply.com,No Match,-,0.0,Movements NL
259,Tuinland Groningen,tuinland.nl,No Match,-,0.0,Movements NL
260,Stertil B.V.,stertil.nl,No Match,-,0.0,Movements NL
261,Terberg Control Systems B.V.,terberg-control-systems.nl,No Match,-,0.0,Movements NL
262,Badotherm Proces Instrumentatie B.V.,badotherm.com,badotherm.com,3 - Presenting (S),100.0,Movements NL
263,NL Food B.V.,foodbrokers.nl,No Match,-,0.0,Movements NL
264,Handelsonderneming van Krimpen B.V.,krimpen.nl,krimpen.nl,2 - SQL / Sales Outreach,100.0,Movements NL
265,ITB Group,itb.nl,No Match,-,0.0,Movements NL
266,Adams Music Centre,adams.nl,adams.nl,3 - Presenting (S),100.0,Movements NL
267,Load-Lok Nederland B.V.,loadlok.com,No Match,-,0.0,Movements NL
268,Bruj International B.V.,bruj.eu,bruj.eu,,100.0,Movements NL
269,Bosman Van Zaal B.V.,bosmanvanzaal.com,bosmanvanzaal.com,4 - Offering (S),100.0,Movements NL
270,KH Chemicals B.V.,khchemicals.com,khchemicals.com,2 - SQL / Sales Outreach,100.0,Movements NL
271,Lumat B.V.,lumat.com,No Match,-,0.0,Movements NL
272,Pols Potten B.V.,polspotten.nl,polspotten.nl,3 - Presenting (S),100.0,Movements NL
273,Direct Maintenance B.V.,nan,No Match,-,0.0,Movements NL
274,Van Wijk Nederland B.V.,vwnl.com,No Match,-,0.0,Movements NL
275,Ammeraal Beltech B.V.,ammeraalbeltech.com,No Match,-,0.0,Movements NL
276,Kras Recycling B.V.,kras-recycling.com,No Match,-,0.0,Movements NL
277,Oukro B.V.,oukro.nl,oukro.nl,1- MQL (Marketing),100.0,Movements NL
278,Jan Zandbergen,janzandbergen.nl,No Match,-,0.0,Movements NL
279,Collé Rental & Sales,colle-sittard.nl,No Match,-,0.0,Movements NL
280,Hermes Wool B.V.,nan,No Match,-,0.0,Movements NL
281,VION Retail,vionfoodgroup.com,No Match,-,0.0,Movements NL
282,Crème de la Cream Company B.V.,cdlc.nl,cdlc.nl,3 - Presenting (S),100.0,Movements NL
283,Vaf Instruments B.V.,coneco.nl,No Match,-,0.0,Movements NL
284,Limako Suiker B.V.,limako.com,limako.com,3 - Presenting (S),100.0,Movements NL
285,Cartec B.V.,cartecworld.com,cartecworld.com,3 - Presenting (S),100.0,Movements NL
286,Interchemie Werken De Adelaar B.V.,interchemie.com,interchemie.com,1- MQL (Marketing),100.0,Movements NL
287,Louët B.V.,louet.nl,No Match,-,0.0,Movements NL
288,Stora Enso Timber DIY Products B.V.,storaenso.com,storaenso.com,2 - SQL / Sales Outreach,100.0,Movements NL
289,VPS International B.V.,vps-lubricants.net,No Match,-,0.0,Movements NL
290,Hadek Protective Systems B.V.,hadek.com,hadek.com,3 - Presenting (S),100.0,Movements NL
