,Input Name,Input Website,Match,Stage,Copper link,Score,Source,Status
152,Super Micro Computer B.V.,www.supermicro.com,supermicro.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/24108663,100.0,Movements NL,Abandoned
153,AFTC Group,www.aftc.eu,No Match,-,-,0.0,Movements NL,-
154,World Paper B.V.,www.worldpaper.nl,orldpaper.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/50606095,96.0,Movements NL,Abandoned
155,Agricultural Production & Handling B.V.,www.aphgroup.com,aphgroup.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50691505,100.0,Movements NL,Open
156,ilShin Europe,http://ilshinbiobase-europe.com/,ilshinbiobase-europe.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47317094,100.0,Movements NL,Won
157,WOT! Promotions,www.wot-p.nl,No Match,-,-,0.0,Movements NL,-
158,Brasco B.V.,www.brasco.nl,brasco.nl,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50130676,100.0,Movements NL,Won
159,VaKaGroup,https://www.vakagroup.com/,No Match,-,-,0.0,Movements NL,-
160,Delinuts B.V.,www.delinuts.nl,delinuts.nl/nl-nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/38239243,90.0,Movements NL,Open
161,Rotor B.V.,www.rotor.nl,No Match,-,-,0.0,Movements NL,-
162,QUAPI KIDSWEAR BV,www.quapikidswear.nl,No Match,-,-,0.0,Movements NL,-
163,All Sport NV,www.allsport-group.com,allsport-group.com,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40999546,100.0,Movements NL,Won
164,Rollepaal B.V.,www.rollepaal.com,rollepaal.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49764578,100.0,Movements NL,Open
165,Gibas Automation B.V.,www.gibas.nl,No Match,-,-,0.0,Movements NL,-
166,Naturel West Corp EU B.V.,www.iidea.com.mx,No Match,-,-,0.0,Movements NL,-
167,Kanoshop Holland,www.kanoshop.nl,kanoshop.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55688859,100.0,Movements NL,Open
168,Bos Polijstmaterialen B.V.,www.boscleaningfinishing.com,boscleaningfinishing.com,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56687815,100.0,Movements NL,Won
169,Super B Lithium Power B.V.,www.super-b.com,super-b.com/en,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46426908,95.0,Movements NL,Won
170,Araco International B.V.,www.araco.nl,araco.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46560131,100.0,Movements NL,Open
171,Staay-Hispa B.V.,www.fresh-care.nl,No Match,-,-,0.0,Movements NL,-
172,NORKEM B.V,www.norkem.com,norkem.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48547337,100.0,Movements NL,Open
173,Vitility International B.V.,www.vitility.com,No Match,-,-,0.0,Movements NL,-
174,Krosakiharima Europe B.V.,www.krosaki.co.jp/english,No Match,-,-,0.0,Movements NL,-
175,Beautydistrict B.V.,,No Match,-,-,0.0,Movements NL,-
176,Nedelko,www.nedelko.nl,nedelko.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14996551,100.0,Movements NL,Lost
177,Dynetics B.V.,www.dynetics.eu,No Match,-,-,0.0,Movements NL,-
178,NEMAG,https://www.nemag.com/,nemag.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/28741565,100.0,Movements NL,Abandoned
179,Interring B.V.,www.interring.nl,No Match,-,-,0.0,Movements NL,-
180,Sacha Hoofdkantoor,www.sacha.nl,sacha.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48574664,100.0,Movements NL,Abandoned
181,Kemetyl Professional B.V.,www.kemetyl.com,kemetyl.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48946758,100.0,Movements NL,Abandoned
182,Ministry of Beauty B.V.,www.kappers.nl,No Match,-,-,0.0,Movements NL,-
183,Branddeploy,www.branddeploy.com,No Match,-,-,0.0,Movements NL,-
184,Dingemans Elementenbouw B.V.,www.dingemans.eu,dingemans.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49502271,100.0,Movements NL,Lost
185,E.M.M. International B.V.,www.emm.com,emm.com,,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13568359,100.0,Movements NL,Abandoned
186,Heutink Primair Onderwijs B.V.,www.iacgroup.com,ivcgroup.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46142339,91.66666666666666,Movements NL,Open
187,Peacock Garden Supports B.V.,www.peacock.nl,No Match,-,-,0.0,Movements NL,-
188,Euro-Scrap Alliance B.V.,,No Match,-,-,0.0,Movements NL,-
189,De Ree Holland B.V.,www.m-g.nl,No Match,-,-,0.0,Movements NL,-
190,Barefoot International B.V.,www.barefoot-int.com,barefoot-int.com,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56779526,100.0,Movements NL,Won
191,Nieuw Deco B.V.,www.nieuwdeco.com,nieuwdeco.com/en/about-nieuwdeco-2,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52900142,90.0,Movements NL,Abandoned
192,Odin Onderwijs B.V.,www.odin-groep.nl,odin-groep.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48353913,100.0,Movements NL,Open
193,Terberg Benschop B.V.,www.terbergbenschop.com,No Match,-,-,0.0,Movements NL,-
